Fiscal Year,Total Outlays (Billions),Discretionary Outlays,Total R&D,R&D as Percent of Total Outlays,R&D as Percent of Discretionary Outlays,Discretionary Outlays,Defense R&D,Defense R&D as Percent of Defense Outlays,Discretionary Outlays,Nondefense R&D,Nondef. R&D as Percent of Nondef. Outlays,Nondefense R&D as Percent of Total Budget
1995,1623.3,583.5,73.3,4.5%,12.6%,293.0,40.4,13.8%,290.5,32.9,11.3%,2.0%
1996,1671.3,570.6,73.3,4.4%,12.8%,284.9,42.2,14.8%,285.7,31.1,10.9%,1.9%
1997,1714.8,586.0,76.1,4.4%,13.0%,291.0,43.0,14.8%,295.0,33.1,11.2%,1.9%
1998,1769.9,591.1,78.0,4.4%,13.2%,289.4,43.0,14.9%,301.7,35.0,11.6%,2.0%
1999,1822.7,612.7,79.4,4.4%,13.0%,295.1,43.1,14.6%,317.7,36.3,11.4%,2.0%
2000,1916.1,658.4,79.2,4.1%,12.0%,316.0,44.0,13.9%,342.4,35.2,10.3%,1.8%
2001,1995.1,695.2,85.8,4.3%,12.3%,327.8,47.3,14.4%,367.4,38.5,10.5%,1.9%
2002,2153.7,786.1,94.2,4.4%,12.0%,373.8,51.7,13.8%,412.3,42.5,10.3%,2.0%
2003,2313.3,882.8,108.6,4.7%,12.3%,433.7,61.4,14.2%,449.2,47.2,10.5%,2.0%
2004,2455.6,958.7,121.4,4.9%,12.7%,486.4,70.0,14.4%,472.3,51.4,10.9%,2.1%
2005,2647.6,1037.3,128.4,4.8%,12.4%,528.7,75.7,14.3%,508.6,52.7,10.4%,2.0%
2006,2843.6,1088.9,131.5,4.6%,12.1%,556.9,78.2,14.0%,532.0,53.3,10.0%,1.9%
2007,2922.5,1115.6,138.9,4.8%,12.5%,586.8,82.6,14.1%,528.8,56.3,10.7%,1.9%
2008,3194.3,1215.4,144.5,4.5%,11.9%,655.9,85.3,13.0%,559.5,59.3,10.6%,1.9%
2009,3767.5,1325.4,149.8,4.0%,11.3%,703.3,88.8,12.6%,622.0,61.0,9.8%,1.6%
2010,3702.6,1442.9,150.9,4.1%,10.5%,737.8,86.8,11.8%,705.1,64.1,9.1%,1.7%
2011,3859.0,1442.8,153.8,4.0%,10.7%,749.1,85.3,11.4%,693.7,68.5,9.9%,1.8%
2012,3777.1,1366.3,148.6,3.9%,10.9%,718.1,80.5,11.2%,648.2,68.2,10.5%,1.8%
2013,3700.3,1287.8,141.9,3.8%,11.0%,670.2,76.2,11.4%,617.6,65.7,10.6%,1.8%
2014,3755.3,1262.5,140.6,3.7%,11.1%,638.8,75.6,11.8%,623.8,65.0,10.4%,1.7%
2015,3954.0,1255.5,141.4,3.6%,11.3%,624.8,75.8,12.1%,630.6,65.7,10.4%,1.7%
2016,4126.2,1269.4,144.6,3.5%,11.4%,626.3,77.8,12.4%,643.0,66.8,10.4%,1.6%
2017,4264.4,1285.5,123.9,2.9%,9.6%,632.1,55.0,8.7%,653.4,68.9,10.5%,1.6%
2018,4400.8,1351.2,122.5,2.8%,9.1%,676.0,52.6,7.9%,684.3,69.8,10.2%,1.6%
2019,4762.8,1432.8,132.4,2.8%,9.2%,734.7,59.9,8.3%,708.4,72.5,10.2%,1.5%
2020,6553.6,1627.0,165.6,2.5%,10.2%,724.6,79.6,11.0%,913.0,86.0,9.4%,1.3%
2021,6822.4,1636.0,163.7,2.4%,10.0%,753.9,79.9,10.6%,895.0,83.9,9.4%,1.2%
2022,5851.6,1694.0,177.0,3.0%,10.4%,779.7,87.0,11.2%,928.0,89.9,9.7%,1.5%
2023 Request,5792.0,1639.0,193.5,2.9%,9.7%,808.6,92.1,9.2%,873.0,101.4,10.2%,1.5%
